variable,comparability,years_count,years_available,91_1_label,91_2_label,95_label,99_label,103_label,106_label,110_label
h6o,Not Comparable,2,"103,110",,,,,H6.除了以上這些收入以外，請問您(經濟戶長)個人每個月「其他雜項」收入總共是多少?請記,,h6o
i2_1,Not Comparable,2,"103,110",,,,,I2-1.除了您本人，請問家裡其他具有原住民身分且有固定收入的家人總共有幾位?,,請問您知不知道原住民族委員會有「原住民族綜合發展基金貸款」的業務（包含微笑貸、青年創 業貸款、經濟產業貸款）？ □(1)知道 □(2)不知道請簡要說明後，跳答I2-3
i2_2,Not Comparable,2,"106,110",,,,,,I2-2.經濟戶長的創業貸款總共借了多少錢?,請問您知不知道原住民族委員會有「原住民族綜合發展基金貸款」的業務（包含微笑貸、青年創 業貸款、經濟產業貸款）？ □(1)知道 □(2)不知道請簡要說明後，跳答I2-3
i2_3,Not Comparable,2,"106,110",,,,,,I2-3.經濟戶長每個月要繳納的創業貸款總共是多少?【過去一年平均每個月的金額】,請問您知不知道原住民族委員會有「原住民族綜合發展基金貸款」的業務（包含微笑貸、青年創 業貸款、經濟產業貸款）？ □(1)知道 □(2)不知道請簡要說明後，跳答I2-3
j1o,Not Comparable,2,"103,110",,,,,J1.請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少?請記錄,,j1o
j7_3_1,Not Comparable,2,"99,103",,,,J7_3.請問您家庭過去一年有沒有國內外旅遊/運動娛樂消遣的支出,J7-3.「報紙雜誌書籍文具」支出有無,,
j7_4_1,Not Comparable,2,"99,103",,,,J7_4.請問您家庭過去一年有沒有利息/各項貸款/跟會的支出,J7-4.「國內外跟團旅遊/運動娛樂消遣」支出有無,,
j7_5_1,Not Comparable,2,"99,103",,,,J7_5.請問您家庭過去一年有沒有買衣服/鞋子/襪子各項衣物的支出,J7-5.「各項貸款/跟會的利息」支出有無,,
j7_6_1,Not Comparable,2,"99,103",,,,J7_6.請問您家庭過去一年有沒有購買傢俱/家庭電器/廚房用具的支出,J7-6.「外食費/學生住宿費/自助旅行住宿服務費」支出有無,,
j7_6_2,Not Comparable,2,"99,103",,,,J7_6.平均每個月支出金額,J7-6.「外食費/學生住宿費/自助旅行住宿服務費」支出金額,,
j7_7_1,Not Comparable,2,"99,103",,,,J7_7.請問您家庭過去一年有沒有兒童照顧/老人照顧/身心障礙者照顧的支出,J7-7.「買衣服/鞋子/襪子各項衣物」支出有無,,
j7_8_1,Not Comparable,2,"99,103",,,,J7_8.請問您家庭過去一年有沒有其他費用的支出,J7-8.「買家具/家庭電器/廚房用具」支出有無,,
k3_1,Not Comparable,2,"106,110",,,,,,K3.除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎(複選)?投資一,請問您不能包容跨性別者或同性婚姻家庭的原因為何？(可複選) □(1)社會觀感 □(2)宗教 □(3) 其他（請說明）__________________ 附 1-13 L 部分：疫情所致經濟衝擊與需求
k3_2,Not Comparable,2,"106,110",,,,,,K3.除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎(複選)?投資二,請問您不能包容跨性別者或同性婚姻家庭的原因為何？(可複選) □(1)社會觀感 □(2)宗教 □(3) 其他（請說明）__________________ 附 1-13 L 部分：疫情所致經濟衝擊與需求
l1,Not Comparable,2,"99,106",,,,L1.請問您或您的家人最需要政府提供什麼幫忙？,,L1.除了經濟戶長本人以外，家裡有沒有「其他家人」有固定收入?,
l1_1,Not Comparable,2,"103,110",,,,,L1.請問您或您的家人最需要政府提供什麼幫忙?(單選),,請問您或您的家人有因嚴重特殊傳染性肺炎(Covid-19)導致收入減少甚至失業嗎？ □(1) 有，收入減少。請記錄________元 □(2) 有，失業。請記錄家中___人 □(3) 無停問 □(4) 不知道停問
l1o,Not Comparable,2,"103,106",,,,,L1.請問您或您的家人最需要政府提供什麼幫忙?其他(請說明),L1.除了經濟戶長本人以外，家裡有沒有「其他家人」有固定收入?(1)有，共__位,
l3_1,Not Comparable,2,"99,110",,,,L3.請問您或您的家人有沒有需要信用貸款、汽車貸款、信用卡、現金卡貸款？房屋貸款？創,,,請問您或您的家人沒有申請政府因應嚴重特殊傳染性肺炎(Covid-19)相關紓困措施的原因有哪 些？(可複選) □(1)申請資格不符而未申請 □(2)不清楚有什麼措施可以申請 □(3)被拒絕受理。請紀錄原因_____________ □(4)沒有需求 □(5)其他（請說明）__________ ※您的資料僅供原住民族委員會探討經濟狀況使用不做他途※ 【特殊狀況註記】 附 1-14
l3_2,Not Comparable,2,"99,110",,,,L3.請問您或您的家人有沒有需要信用貸款、汽車貸款、信用卡、現金卡貸款？房屋貸款？創,,,請問您或您的家人沒有申請政府因應嚴重特殊傳染性肺炎(Covid-19)相關紓困措施的原因有哪 些？(可複選) □(1)申請資格不符而未申請 □(2)不清楚有什麼措施可以申請 □(3)被拒絕受理。請紀錄原因_____________ □(4)沒有需求 □(5)其他（請說明）__________ ※您的資料僅供原住民族委員會探討經濟狀況使用不做他途※ 【特殊狀況註記】 附 1-14
l4,Not Comparable,2,"99,106",,,,L4.如果您需要貸款，請問您最希望從農會、儲蓄互助社，還是ㄧ般銀行取得資金？,,L4.包含經濟戶長本人，全家每個月接受「政府發給津貼、補助、各種社會保險、私人保險」,
m1,Not Comparable,2,"99,106",,,,M1.請問您需不需要負責家計？,,M1.您全家每個月用在支付「買米/肉/菜、水果、非酒精飲料費、糖果零食等」的費用是多少?,
m3,Not Comparable,2,"99,106",,,,M3. 請問您今年幾歲？,,M3.您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養/油錢、汽機車保,
m4,Not Comparable,2,"99,106",,,,M4.請問您的教育程度？,,M4.您全家每個月用在支付「看病就醫、繳醫療保險費、購買醫療用品/設備等」的費用是多少,
n1,Not Comparable,2,"103,106",,,,,N1.請問您需不需要負責家計?,N1.您或您的家人最需要政府提供什麼幫忙?,
n2,Not Comparable,2,"103,106",,,,,N2.請問您所屬的族別?,N2.您知不知道原住民族委員會有「原住民族綜合發展基金貸款」的業務(包含微笑貸、青年創,
n3,Not Comparable,2,"103,106",,,,,N3.請問您今年幾歲?,N3.您有沒有參加「儲蓄互助社(儲互社)」?,
n4,Not Comparable,2,"103,106",,,,,N4.請問您的教育程度?,N4.您們家是不是符合地方政府列冊登記有案的中低收入戶?,
w1,Not Comparable,2,"99,103",,,,擴大係數,樣本權數,,
weight,Not Comparable,2,"95,110",,,加權權值,,,,weight
q10,Exact Match,3,"91_1,91_2,95",10.請問您主要工作的身分是?,10.請問您主要工作的身分是?,Q10.請問您主要工作的身分是?,,,,
b01,Exact Match,2,"91_1,91_2",訪員編號,訪員編號,,,,,
k1_1a,Exact Match,2,"99,103",,,,K1-1.請問您個人每個月用於投資的金額是多少？,K1-1.請問您個人每個月用於投資的金額是多少?,,
k1_3,Exact Match,2,"99,103",,,,K1.請問您個人目前有從事以下哪些投資嗎？(可複選),K1.請問您個人目前有從事以下哪些投資嗎?(可複選)投資三,,
k1_4,Exact Match,2,"99,103",,,,K1.請問您個人目前有從事以下哪些投資嗎？(可複選),K1.請問您個人目前有從事以下哪些投資嗎?(可複選)投資四,,
k1_5,Exact Match,2,"99,103",,,,K1.請問您個人目前有從事以下哪些投資嗎？(可複選),K1.請問您個人目前有從事以下哪些投資嗎?(可複選)投資五,,
q12,Exact Match,2,"91_1,91_2",12.請問您家中有幾部自用機車?,12.請問您家中有幾部自用機車?,,,,,
q13,Exact Match,2,"91_1,91_2",13.請問您家中有幾部冷(暖)氣機?,13.請問您家中有幾部冷(暖)氣機?,,,,,
q17,Exact Match,2,"91_1,91_2",17.請問您住宅的面積有多少坪(建坪)?,17.請問您住宅的面積有多少坪(建坪)?,,,,,
q18,Exact Match,2,"91_1,91_2",18.請問您的住宅是自有、租賃、配住、借用?,18.請問您的住宅是自有、租賃、配住、借用?,,,,,
q19,Exact Match,2,"91_1,91_2",19.請問您每個月的租金是多少?,19.請問您每個月的租金是多少?,,,,,
q20,Exact Match,2,"91_1,91_2",20.請問您有沒有房屋貸款?,20.請問您有沒有房屋貸款?,,,,,
q20a,Exact Match,2,"91_1,91_2",20-1.請問您每個月房屋貸款本金和利息總共是多少?,20-1.請問您每個月房屋貸款本金和利息總共是多少?,,,,,
q21,Exact Match,2,"91_1,91_2",21.請問您全家每個月平均總共收入是多少(所有人)?,21.請問您全家每個月平均總共收入是多少(所有人)?,,,,,
q22a,Exact Match,2,"91_1,91_2",22-1.請問全家每個月平均收入中，工作收入是多少?,22-1.請問全家每個月平均收入中，工作收入是多少?,,,,,
q22b,Exact Match,2,"91_1,91_2",22-2.請問全家每個月平均收入中，政府補助及津貼收入是多少?,22-2.請問全家每個月平均收入中，政府補助及津貼收入是多少?,,,,,
q22c,Exact Match,2,"91_1,91_2",22-3.請問全家每個月平均收入中，其他收入是多少?(利息、租金、民間團體補助、退休俸、兒,22-3.請問全家每個月平均收入中，其他收入是多少?(利息、租金、民間團體補助、退休俸、兒,,,,,
q23,Exact Match,2,"91_1,91_2",23.請問您每個月家庭平均支出是多少?,23.請問您每個月家庭平均支出是多少?,,,,,
q23a,Exact Match,2,"91_1,91_2",23-1.請問每個月家庭平均支出中，食品消費是多少?(日常生活吃的部分，但不包含酒、菸、檳,23-1.請問每個月家庭平均支出中，食品消費是多少?(日常生活吃的部分，但不包含酒、菸、檳,,,,,
q23b,Exact Match,2,"91_1,91_2",23-2.請問每個月家庭平均支出中，酒、菸、檳榔等消費是多少?,23-2.請問每個月家庭平均支出中，酒、菸、檳榔等消費是多少?,,,,,
q23c,Exact Match,2,"91_1,91_2",23-3.請問每個月家庭平均支出中，醫療保健費用是多少?(包括看病的掛號費或藥費及個人買的,23-3.請問每個月家庭平均支出中，醫療保健費用是多少?(包括看病的掛號費或藥費及個人買的,,,,,
q23d,Exact Match,2,"91_1,91_2",23-4.請問每個月家庭平均支出中，運輸交通與通訊花費是多少?(油錢、電話費、公車費、汽機,23-4.請問每個月家庭平均支出中，運輸交通與通訊花費是多少?(油錢、電話費、公車費、汽機,,,,,
q24,Exact Match,2,"91_1,91_2",24.請問您的配偶有沒有在工作?,24.請問您的配偶有沒有在工作?,,,,,
q25,Exact Match,2,"91_1,91_2",25.為了改善您的經濟狀況，請問您希不希望您的配偶也外出工作?,25.為了改善您的經濟狀況，請問您希不希望您的配偶也外出工作?,,,,,
q25a,Exact Match,2,"91_1,91_2",25-1.請問您為什麼不希望您的配偶外出工作?,25-1.請問您為什麼不希望您的配偶外出工作?,,,,,
q26,Exact Match,2,"91_1,91_2",26.為了改善您的經濟狀況，請問您或您的家人需不需要政府幫忙?,26.為了改善您的經濟狀況，請問您或您的家人需不需要政府幫忙?,,,,,
q26a,Exact Match,2,"91_1,91_2",26-1.您或您的家人最需要政府幫忙的事項是：,26-1.您或您的家人最需要政府幫忙的事項是：,,,,,
q27,Exact Match,2,"91_1,91_2",27.假如為了改善原住民經濟狀況，政府提供一筆15年年利率固定3%的低利貸款，前三年僅繳利,27.假如為了改善原住民經濟狀況，政府提供一筆15年年利率固定3%的低利貸款，前三年僅繳利,,,,,
q27a,Exact Match,2,"91_1,91_2",27-1.請問您會貸多少款項?(萬元),27-1.請問您會貸多少款項?(萬元),,,,,
q27b,Exact Match,2,"91_1,91_2",27-2.請問您不會申請貸款的原因?,27-2.請問您不會申請貸款的原因?,,,,,
q28,Exact Match,2,"91_1,91_2",受訪身分,受訪身分,,,,,
q5,Exact Match,2,"91_1,91_2",5.請問您的婚姻狀況是?,5.請問您的婚姻狀況是?,,,,,
q6a,Exact Match,2,"91_1,91_2",6-1.請問他(她)所屬的族別?,6-1.請問他(她)所屬的族別?,,,,,
q7a,Exact Match,2,"91_1,91_2",7.請問目前與您住在一起共同生活的(包括您自己)總共有幾個人?,7.請問目前與您住在一起共同生活的(包括您自己)總共有幾個人?,,,,,
q7b,Exact Match,2,"91_1,91_2",7.其中原住民有幾位?,7.其中原住民有幾位?,,,,,
q7c,Exact Match,2,"91_1,91_2",7.(1)年齡在6歲及以下的原住民有幾位,7.(1)年齡在6歲及以下的原住民有幾位,,,,,
q7d,Exact Match,2,"91_1,91_2",7.(2)年齡在7歲~12歲的原住民有幾位,7.(2)年齡在7歲~12歲的原住民有幾位,,,,,
q7e,Exact Match,2,"91_1,91_2",7.(3)年齡在13歲~18歲的原住民有幾位,7.(3)年齡在13歲~18歲的原住民有幾位,,,,,
q7f,Exact Match,2,"91_1,91_2",7.(4)年齡在60歲及以上的原住民有幾位,7.(4)年齡在60歲及以上的原住民有幾位,,,,,
level,Comparable,7,"91_1,91_2,95,99,103,106,110",行政區域分層,行政區域分層,行政區域分層,層別,層別,層別,level
county,Comparable,4,"91_1,91_2,95,99",縣市鄉鎮市區,縣市鄉鎮市區,縣市鄉鎮市區,縣市代碼,,,
j5,Comparable,3,"99,103,106",,,,J5.請問您全家每個月用在支付「抽煙、飲酒、吃檳榔等」的費用是多少？【過去ㄧ年平均每,J5.請問您全家每個月用在支付「抽煙、飲酒、吃檳榔等」的費用是多少?【過去ㄧ年平均每個,J5.經濟戶長個人每個月的「房屋、土地出租租金」收入總共是多少?【過去一年平均每個月的,
q16,Comparable,3,"91_1,91_2,95",16.請問您住宅的建築結構是?,16.請問您住宅的建築結構是?,Q16.請問您知不知道「原住民綜合發展基金貸款」?,,,,
q2,Comparable,3,"91_1,91_2,95",2.請問您的年齡,2.請問您的年齡,Q2.請問您住的房子是幾層樓的?,,,,
q3,Comparable,3,"91_1,91_2,95",3.請問您的教育程度?,3.請問您的教育程度?,Q3.請問您現在住的房子是屬於誰的?,,,,
q4,Comparable,3,"91_1,91_2,95",4.請問您所屬的族別?,4.請問您所屬的族別?,Q4.請問您房屋每個月的租金是多少?,,,,
county2,Comparable,2,"103,106",,,,,戶籍地鄉鎮市區,戶籍地完整鄉鎮市區,
l2_2_1,Comparable,2,"99,103",,,,L2-2.請問您或您的家人沒有申請「原住民綜合發展基金貸款」的原因有哪些？(可複選),L2-2.請問您或您的家人未來沒有申請「原民會專案貸款」需求的原因有哪些?(可複選)原因一,,
l2_2_2,Comparable,2,"99,103",,,,L2-2.請問您或您的家人沒有申請「原住民綜合發展基金貸款」的原因有哪些？(可複選),L2-2.請問您或您的家人未來沒有申請「原民會專案貸款」需求的原因有哪些?(可複選)原因二,,
l2_2_3,Comparable,2,"99,103",,,,L2-2.請問您或您的家人沒有申請「原住民綜合發展基金貸款」的原因有哪些？(可複選),L2-2.請問您或您的家人未來沒有申請「原民會專案貸款」需求的原因有哪些?(可複選)原因三,,
l2_2_4,Comparable,2,"99,103",,,,L2-2.請問您或您的家人沒有申請「原住民綜合發展基金貸款」的原因有哪些？(可複選),L2-2.請問您或您的家人未來沒有申請「原民會專案貸款」需求的原因有哪些?(可複選)原因四,,
